epoch,lai,loss,skin_error_K,evap_error_scaled,gradient_class
0,7.0,170.13657768725736,-0.022390429101051268,-13.043622056619935,80.69716513739998
1,6.850000000018588,158.22044890164142,-0.021365861163758382,-12.578552873904778,78.1560316139884
2,6.700144263544829,146.69884114862805,-0.020342023443618018,-12.11191262149419,75.57977073834799
3,6.550538842868359,135.58407554027121,-0.0193196585644273,-11.644041493015393,72.97026499695288
4,6.401297548894565,124.88787538562265,-0.0182995629246534,-11.175309414580852,70.32963488983138
5,6.252542214365515,114.62124786033704,-0.017282588378350283,-10.706117371506627,67.66025360580545
6,6.104402935033985,104.79435899655306,-0.016269643768566766,-10.23689866586774,64.9647614401581
7,5.957018281052067,95.41652892406013,-0.015261652823653549,-9.768126535114767,62.24405173378046
8,5.810535763370303,86.49588924709927,-0.01425968086721241,-9.300305688986832,59.50623003475035
9,5.665111185525201,78.03896900434987,-0.01326482647704097,-8.83395681723249,56.75172512133201
10,5.520909250847659,69.60099352780252,-0.012303365996842786,-8.342711918494349,58.01515689593719
11,5.377446196565062,61.51226491221209,-0.011355111843329269,-7.842967293929455,54.70888118805393
12,5.235082555372243,53.95661934856281,-0.010413882014063347,-7.3455095738569565,51.39628517987735
13,5.094156403866969,46.944050753088725,-0.009481867331146532,-6.851566306128887,48.08608110503565
14,4.954992712696729,40.47909618154741,-0.008561320728404098,-6.362312699430515,44.78665982027166
15,4.8179091904738165,34.5618114529419,-0.007654342946466386,-5.878924464897977,41.50665838158541
16,4.68321977461149,29.18077940879937,-0.00676364757725878,-5.401919442371463,39.60702260940343
17,4.550949982078705,24.16963925631577,-0.0059038247428588875,-4.916259187753345,36.1352388133953
18,4.421489945582475,19.711348968941813,-0.00506198376251632,-4.439743612559424,32.71205416045725
19,4.295221096493658,15.791504449442689,-0.0042406355943285234,-3.9738503326688646,29.349047557248714
20,4.172516550348399,12.390679725431475,-0.0034422388137045346,-3.520038050422669,26.057832644435738
